measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2000,142768.901464,172172.010376,116802.693892
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,2000,21159132.8965,26897889.2456,15121645.9643
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,2000,1571980.39343,2351979.83231,984756.668146
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,2000,17149.2634544,26171.6394883,10702.6722917
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,2000,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1999,15519855.3376,22786284.5898,9675823.02288
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Syphilis,Number,1999,13391139.6335,20943012.152,7671368.06957
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chlamydial infection,Number,1999,485810.545227,741913.052866,305548.004682
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Gonococcal infection,Number,1999,531808.435861,703472.114418,382151.001297
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichomoniasis,Number,1999,150743.453122,321913.782635,57723.5021745
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Genital herpes,Number,1999,163361.713671,348196.141046,57664.293601
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other sexually transmitted diseases,Number,1999,796991.556229,1137922.00084,539748.146555
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1999,8452535.78998,9009307.3472,7850904.6599
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis A,Number,1999,1001585.86202,1159306.71631,831352.186579
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis B,Number,1999,4721078.60451,5042298.6843,4446445.39004
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis C,Number,1999,102096.501451,121384.37389,82918.5481827
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis E,Number,1999,2627093.10173,2951046.4089,2255112.33748
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1999,28861.7583366,40849.9814945,19478.8718323
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1999,6267899.997,7875663.12782,4123208.71757
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1996,6485.65890147,8175.79179938,4822.49450108
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible tuberculosis,Number,1996,61447279.2832,65051650.4272,57865638.9271
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1996,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1996,3333.83691999,4540.80445172,2349.76428649
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1996,3891595.70543,4680295.37195,3223802.21745
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1996,76464.1172033,92761.6630914,62344.5922271
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,1996,13576257.9546,17185191.301,10089579.7964
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,1996,621434.81723,893607.53504,401411.954665
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,1996,6136.80723082,9383.59675812,3847.52455667
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,1996,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1997,16167287.7507,23977460.7261,9953746.87717
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Syphilis,Number,1997,14091284.082,22179419.6074,8146244.13168
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chlamydial infection,Number,1997,477816.281124,729324.056441,299087.235057
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Gonococcal infection,Number,1997,519117.745226,680279.180045,376013.850537
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichomoniasis,Number,1997,145130.170599,310031.340237,55565.2735559
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Genital herpes,Number,1997,155964.314902,332210.45479,54982.2165741
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other sexually transmitted diseases,Number,1997,777975.156899,1107635.1667,524603.977573
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1997,8725776.00257,9250923.65486,8138518.94855
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis A,Number,1997,1072725.90016,1261941.56801,912857.953128
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis B,Number,1997,4775322.16713,5121812.05799,4454918.89655
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis C,Number,1997,101527.232461,119867.008206,83265.4950796
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis E,Number,1997,2775759.34557,3103650.95145,2379667.94414
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1997,27304.4563667,38936.2029716,18445.3973895
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1997,6438525.89136,8127932.6125,4122133.09066
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1997,700.536819165,882.369167766,520.767911781
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible tuberculosis,Number,1997,59918287.2241,63301561.537,56573844.5263
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1997,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1997,2928.51331961,3911.38173094,2022.65620218
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1997,4830606.96035,5796032.57036,4010262.11661
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1997,99878.8732003,120174.21099,82431.4880381
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS and tuberculosis,Number,1999,138110138.367,144604064.237,131634185.256
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1999,64544223.5236,68049613.8169,61435297.8811
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1999,73567392.7534,79237193.7159,68808836.4804
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS resulting in other diseases,Number,1999,53077417.293,61612864.8605,46219821.8478
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,"Diarrhea, lower respiratory, and other common infectious diseases",Number,1999,432029665.308,461032816.305,409342720.964
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,1999,133227230.524,157549802.315,113679999.438
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,1999,14486350.5036,23674397.7205,8348715.29333
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Typhoid fever,Number,1999,12258021.3238,20307400.8501,6651433.12009
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Paratyphoid fever,Number,1999,1898535.47512,3689397.27712,892481.261175
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other intestinal infectious diseases,Number,1999,323918.056428,940967.642849,89292.0706705
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,1999,158685969.776,169846075.777,145301614.418
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,1999,5275969.72703,7863795.85655,3354231.95213
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,1999,3204231.23144,4783845.18185,2078392.91133
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,1999,27304354.3253,30775787.3637,23113746.656
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Pneumococcal meningitis,Number,1999,2032730.26661,2459467.54807,1741160.20307
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,H influenzae type B meningitis,Number,1999,2970632.41,3552698.02811,2350664.92096
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningococcal meningitis,Number,1999,12960985.0792,14685639.4894,11227422.5388
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other meningitis,Number,1999,9337066.74087,10639673.7984,7585496.78732
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,1999,7932578.9426,9695535.82271,6235819.11237
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,1999,571682.748309,761352.706844,381393.709234
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,1999,12455349.1475,22310674.2047,6060057.13724
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,1999,13090145.512,17088491.2738,7275903.14004
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,1999,54515892.9865,103200877.228,21810663.5918
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,1999,1178656.78858,1345969.46535,1030194.50075
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neglected tropical diseases and malaria,Number,1999,95441472.0694,109321439.666,82570078.6243
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,1999,72826428.8023,87086255.8599,60101871.4474
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,1999,253925.952607,276128.349264,236743.720588
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,1999,1046708.08661,1573693.98117,664676.601686
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1999,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible tuberculosis,Number,1999,58778790.7163,62252996.2462,55594880.6419
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1999,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1999,2471.08053922,3303.48334749,1741.13633193
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,2000,14669.3775402,18578.9247618,10842.399886
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other meningitis,Number,2000,9217012.01189,10710983.5667,7376238.80867
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,2000,7880241.18953,9694571.62674,6010515.57586
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,2000,547430.675119,777952.373989,385777.058076
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,2000,12256217.5645,22970242.7498,5762135.34719
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,2000,12210045.36,16772755.8842,6586433.6586
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,2000,50538534.3292,101404170.114,20285765.6984
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,2000,1160430.01106,1326219.49205,1004763.62094
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neglected tropical diseases and malaria,Number,2000,96229054.0052,112233422.292,81163540.1608
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,2000,73746704.386,88619973.68,59832362.1476
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,2000,248766.224393,275055.776924,227074.956411
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,2000,1045253.62441,1665922.23613,651915.887583
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,1997,15197823.8154,19278353.4195,11164779.0549
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,1997,908548.400042,1320390.21125,575469.93674
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,1997,8571.43186632,12776.1137399,5420.14476655
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,1997,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1999,1375138.86338,2105384.41235,769057.613662
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1999,257904.852095,335883.115333,174610.18862
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1999,917078.261737,1512729.05697,280451.097759
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1999,464427.026079,1254984.16906,114164.718265
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1999,2361681.60984,3070866.42305,1596643.79254
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1999,4705277.48481,6961723.55973,3146293.34816
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ascariasis,Number,1999,2443526.96288,3425547.71444,1768136.93704
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichuriasis,Number,1999,472495.83485,771882.467072,258620.698617
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hookworm disease,Number,1999,1789254.68709,2739106.97065,1097507.80677
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1999,1503549.81514,2734340.61433,781498.922258
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1999,3308563.67831,4324246.85634,2626830.52872
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1999,5626587.65528,6745433.04372,4670770.6865
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1999,136848.288265,163323.813385,113154.74077
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,1999,19072180.1129,24215896.2852,13920760.6333
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,1999,1401798.33316,2061062.23271,885406.426895
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,1999,15238.8836726,22574.9651292,9503.6606438
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,1999,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1998,1377384.01536,2120595.66627,771954.17004
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1998,254976.630692,332859.645294,171324.494531
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1998,1170277.58765,1681691.57834,506876.140916
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1998,487052.406424,1358213.52513,107214.12983
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1998,2463023.01513,3163440.70695,1704294.24314
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1998,4844237.87588,7165611.2134,3243054.67373
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ascariasis,Number,1998,2557876.86491,3579134.33575,1842578.90067
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichuriasis,Number,1998,479950.046767,788569.973248,261351.23021
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hookworm disease,Number,1998,1806410.9642,2773382.9386,1109556.9238
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1998,1484470.59307,2701815.00155,770055.907314
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1998,3309771.14906,4305261.194,2580343.18624
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS and tuberculosis,Number,2001,150786858.646,157569433.616,144454081.121
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,2001,63678594.2751,66773085.436,60920062.1152
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,2001,87110121.6263,93010410.0052,82179264.2499
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS resulting in other diseases,Number,2001,62872382.4673,72665806.9297,54930033.2893
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,"Diarrhea, lower respiratory, and other common infectious diseases",Number,2001,404112468.776,431445227.95,384876917.501
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,2001,127917913.844,151859252.511,111171776.448
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,2001,14024416.4421,22816234.9199,7865296.68065
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Typhoid fever,Number,2001,11853777.9072,19673837.6451,6465192.503
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Paratyphoid fever,Number,2001,1872404.5449,3684003.40124,881583.382709
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other intestinal infectious diseases,Number,2001,295212.8402,758527.179255,68998.0449888
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,2001,149475220.655,160616558.731,138345546.012
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,2001,5341889.16639,7941711.67755,3377909.97101
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,2001,3186761.67495,4758715.28848,2050732.0123
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,2001,26680886.3763,29732558.1145,23178696.7328
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Pneumococcal meningitis,Number,2001,1996537.22402,2401341.66245,1723724.84347
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,H influenzae type B meningitis,Number,2001,2886957.44293,3383251.28639,2371060.79802
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningococcal meningitis,Number,2001,12700279.7823,14374756.5782,11106055.7279
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS and tuberculosis,Number,2000,145660258.461,152234438.287,139360996.708
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,2000,64653650.6871,68398684.5047,61124219.1621
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,2000,81006607.774,86360477.4643,75749463.6529
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS resulting in other diseases,Number,2000,58258345.2207,66645939.8598,50749152.0933
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,"Diarrhea, lower respiratory, and other common infectious diseases",Number,2000,418799603.266,450186666.271,392214161.396
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,2000,130165585.704,154031613.715,111425206.578
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,2000,14267707.9022,23182944.7464,8038897.2464
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Typhoid fever,Number,2000,12062323.6088,19688453.9318,6597220.17662
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Paratyphoid fever,Number,2000,1890904.91739,3743238.92728,886740.636578
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other intestinal infectious diseases,Number,2000,314479.376014,903741.598117,78053.7090143
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,2000,154255558.025,165715519.557,141696080.737
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,2000,5320554.57682,8146365.73849,3251573.58202
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,2000,3195914.51335,4656040.83618,2029041.94231
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,2000,27001383.4151,30537599.9114,22457749.9204
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Pneumococcal meningitis,Number,2000,2018748.31382,2365554.37373,1701635.02423
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,H influenzae type B meningitis,Number,2000,2935109.85956,3439721.3852,2393861.58257
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningococcal meningitis,Number,2000,12830513.2298,14756578.2945,10595129.0947
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1998,915851.374226,1446180.74677,544796.396699
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1998,169083.833299,266587.28503,98690.0936762
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1998,1379105.32982,2029088.79098,827234.971753
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1998,2308213.54457,3793999.89327,1415996.42671
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1998,544263.936641,685930.817067,409507.322988
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1998,275662.748984,345194.633571,209767.503194
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1998,1873858.0739,3473284.65114,833027.615377
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Genital herpes,Number,2002,173579.623317,370206.24141,61452.5826388
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other sexually transmitted diseases,Number,2002,824098.776713,1178050.2381,555824.148894
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,2002,8193616.0685,8698043.03352,7672388.34483
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis A,Number,2002,935245.470234,1132623.08747,762148.260174
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis B,Number,2002,4627348.16794,4976311.06683,4322299.85737
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis C,Number,2002,99271.3875538,120119.445611,82006.0868689
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Acute hepatitis E,Number,2002,2531205.00246,2828683.85014,2169149.04436
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,2002,30206.8243215,42775.9167095,20536.0740409
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,2002,6118878.28885,7702102.75752,4091195.64956
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,2002,15335981.4091,22585834.3791,9582933.9746
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Syphilis,Number,2002,13127939.8528,20669001.1754,7760803.45351
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chlamydial infection,Number,2002,499734.654189,768060.983957,315415.91585
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Gonococcal infection,Number,2002,551578.885282,740771.521453,394154.175428
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trichomoniasis,Number,2002,159049.616781,339602.404044,60924.3976955
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Visceral leishmaniasis,Number,1999,873535.037707,1389767.07843,521835.533499
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cutaneous and mucocutaneous leishmaniasis,Number,1999,173173.048908,269891.213107,102100.450903
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1999,1305060.41381,1924301.83584,717781.443184
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1999,2332244.44125,3855719.85321,1420133.07546
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1999,545584.830621,684157.369785,408723.626639
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1999,270029.544938,336870.457413,204344.798458
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1999,1911043.12129,3530153.48046,846456.546494
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other meningitis,Number,2001,9095026.49212,10402014.6772,7500741.016
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,2001,7800459.44853,9410861.12175,6476522.78103
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,2001,498733.700849,673941.671383,345080.414308
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,2001,11711903.4489,21794077.8388,5300977.75497
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,2001,11140448.0946,14440011.0552,6350413.84075
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,2001,45077510.5343,86965764.4166,17972750.585
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,2001,1138527.25354,1262581.82147,1017135.50902
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neglected tropical diseases and malaria,Number,2001,98537766.0296,113513402.13,83887442.0328
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,2001,76098755.6921,89662648.8103,62246323.0172
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,2001,242069.205462,264584.344881,223201.745093
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,2001,1081310.87169,1615319.2074,698026.506613
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,2002,8394.92601092,10582.3425322,6242.48971236
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible tuberculosis,Number,2002,57248467.2183,60372746.7284,54389190.7531
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,2002,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,2002,950.930103666,1277.86337199,655.370947937
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2002,5351441.04071,6307744.01434,4492521.54228
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2002,172133.613725,200766.748447,144753.852389
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Drug-susceptible HIV/AIDS - Tuberculosis,Number,2002,23716354.0276,30096581.7087,17158423.0476
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Multidrug-resistant HIV/AIDS - Tuberculosis without extensive drug resistance,Number,2002,1851706.70506,2664519.89014,1171697.10089
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Extensively drug-resistant HIV/AIDS - Tuberculosis,Number,2002,22802.5627848,34507.632727,14166.5161436
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Latent tuberculosis infection,Number,2002,0.0,0.0,0.0
