Disease,uri,Alternate Identification,Classification,Reason,WHO Blueprint Priority Diseases,Mentioned on WHO page,Select Agents (HHS),Promed Top 100,"OIE ""Multiple Species Diseases""",CEPI Priority Diseases,Notes ,In Promed corpus/disease ontology?
Typhoid,http://purl.obolibrary.org/obo/DOID_0050508,,Medium,Typically transmitted to humans via ingestion of contaminated food or water. Human to  human transmisison can occur through fecal-oral route. Symptoms range in severity; untreated cases may develop GI and cerebral complications which may be fatal in 10-20%.,,,,Promed Top 100,,,,
Typhus,http://purl.obolibrary.org/obo/DOID_9153,,,Rickettsia prowazekii (causative agent) is above.,,,,Promed Top 100,,,,
Valley Fever,,,Low,Caused by a fungus found in soil and transmitted to humans via inhalation of the fungus. It is not spread person to person.,,,,Promed Top 100,,,might just be because of rift valley,
Variola major virus ,http://purl.obolibrary.org/obo/DOID_0050508,Smallpox,Very High,Highly contagious and fatal in up to 30% of cases. It was transmitted person to person via droplets. Through a world-wide vaccination program it was declared eradicated in 1979 and is known to only exists in a few labs. Vaccine is available for people who have a high risk of coming into contact wit the virus.,,WHO mention,Select Agents (HHS),,,,,
Variola minor virus,http://purl.obolibrary.org/obo/DOID_9153,Alastrim,High or Very High,Milder strain of smallpox,,,Select Agents (HHS),,,,,
Venezuelan equine encephalitis virus,,,Low or Medium (depending on mosquito population of destination),"Transmission to humans  mostly through infected athropods, but can also occur via lab exposure. Person to person has not been reported. Symptoms range from mild to encephalitits; ",,,Select Agents (HHS & USDA),,,,,
Vesicular Stomatitis,http://purl.obolibrary.org/obo/DOID_10881,,Low,Animal disease with rare transmission to humans causing influenza-like symptoms. Person to person transmission does not appear to be documented.,,,,Promed Top 100,,,,
Vibrio parahaemolyticus,,,Low,Transmitted to humans via ingestion of raw or undercooked shellfish or exposure to brackish or salt water via with an open wound. No person to person transmission reported.,,,,Promed Top 100,,,,
Vibrio vulnificus,,,Low,Transmitted to humans via ingestion of raw or undercooked shellfish or exposure to brackish or salt water via with an open wound. Can be a vey severe disease and fatal (about 1 in 7 cases are fatal). No person to person transmission reported.,,,,Promed Top 100,,,,
West Nile Virus,http://purl.obolibrary.org/obo/DOID_2366,,Low,"Transmitted to humans typically from infected mosquitoes (which fed on infected birds). More rare,  there have been cases transmitted through organ transplant, blood transfusions and breast milk. About 20% of those infected will develop West Nile Fever. Symptoms can be severe especially in immunocompromised. ",,WHO mention,,Promed Top 100,OIE,,,
White nose syndrome,,,Exclusion,"Animal disease, no spill over effect known",,,,Promed Top 100,,,,
Whooping Cough,http://purl.obolibrary.org/obo/DOID_1116,,Low to Medium (depending on immune status of destination),"Human to human transmission via droplets (coughing, sneezing). Can cause serious illness that can last for extended period of time. Vaccination is recommended worldwide.",,,,Promed Top 100,,,,
Yellow Fever,http://purl.obolibrary.org/obo/DOID_9682,,Low or High (depending on mosquito population and immune status of destination),Transmitted to humans via bite of infected mosquitoes. Most will have no symptoms but of those who develop severe symptoms 30-60% die. There is a vaccine.,,WHO mention,,Promed Top 100,,,,
Zika,http://purl.obolibrary.org/obo/DOID_0060478,,Medium or High (depending on mosquito population of destination),"Transmitted to humans via bite of infected mosquito. Can be transmitted person to person through vertical transmission and through sex. Symptoms are mostly mild and self-limiting but can cause birth defects, microcephaly, miscarriage, stillbirth and there have been increased reports of Guillain-Barre syndrome in affected areas.",WHO Blueprint Priority Diseases,,,Promed Top 100,,,,
Equine encephalomyelitis,,,Medium (depending on mosquito population in destination),Transmitted to humans via infected mosquitos. Not human to human. Supportive treatment only; approx. 33% mortality rate. ,,,,,OIE,,might be related to one of the other equine diseases,
Heartwater,,,Low or Exclusion,Animal disease not thought to be zoonic but has zoonic potential.,,,,,OIE,,,
Aujeszky's disease virus,,,Exclusion,"Animal disease, no spill over known",,,,,OIE,,,
Echinococcus granulosus,http://purl.obolibrary.org/obo/DOID_1495,,Low,"Transmitted to humans via ingestion of parasite eggs in contaminated food, water or soil or via direct contact an infected animal (dogs, sheep for example). Surgery is the most feffective treatment. Does not appear to be human to human.",,,,,OIE,,,
Echinococcus multilocularis,http://purl.obolibrary.org/obo/DOID_12148,,Low,"Transmitted to humans via ingestion of parasite eggs in contaminated food, water or soil or via direct contact an infected animal (foxes or coyotes for example). Surgery is the most feffective treatment. Does not appear to be human to human.",,,,,OIE,,,
rinderpest,,,Exclusion,"Animal disease, no spill over known",,,,,OIE,,,
Trichinella spp,http://purl.obolibrary.org/obo/DOID_9784,,Low,Transmitted to humans through ingestion of raw or undercooked meat of infected animals (with larvae of Trichinella worm). Symptoms vary and can be severe and even fatal. Person to person transmission does not occur.,,,,,OIE,,,
New world screwworm ,,,Low,"Transmitted to humans via flies, ticks and mosquitoes. No human to human transmission. Mild to severe symptoms; treatable.",,,,,OIE,,,
Old world screwworm ,,,Low,"Transmitted to humans via flies, ticks and mosquitoes. No human to human transmission. Mild to severe symptoms; treatable.",,,,,OIE,,,
Paratuberculosis,,,Exclusion or Low,"Animal disease, no spill over known however has been found to be in patients with Crohn's disease.",,,,,OIE,,,
